Airport,Airport_Name,Delay_Type,Distribution,KS_Statistic,P_value,AIC,BIC,P90,P95,P99,Sample_Size,Data_P90,Data_P95,Data_P99
EGKK,London Gatwick,positive,Burr XII,0.004754572118961797,3.96282300094602e-05,1874977.839534007,1875019.38390022,38.78119597578257,51.476114878026166,93.81077372822266,239448,39.25,51.71666666666667,89.82549999999998
EGKK,London Gatwick,positive,Generalized Gamma,0.021417467566646697,7.625173634674631e-96,1879683.0992404793,1879724.6436066923,41.51459499604442,53.83489916786176,83.41030800523825,239448,39.25,51.71666666666667,89.82549999999998
EGKK,London Gatwick,positive,Weibull,0.026568692118986492,2.864004481362605e-147,1882223.472140357,1882254.6304150168,41.868193838157346,53.21609029377056,78.74992926607305,239448,39.25,51.71666666666667,89.82549999999998
EGKK,London Gatwick,positive,Gamma,0.9103220599433858,0.0,4996493.247471189,4996524.405745849,0.41215921588531973,1.2058236265924966,4.330021931701776,239448,39.25,51.71666666666667,89.82549999999998
EGKK,London Gatwick,positive,Log-Normal,0.02373273445902585,1.365592561548924e-117,1884625.5681831343,1884656.7264577942,40.82488290646582,55.19360069782958,96.29692155867625,239448,39.25,51.71666666666667,89.82549999999998
EGKK,London Gatwick,negative,Log-Logistic,0.03852094493838465,2.7630513681958373e-99,471794.77201937616,471822.51377757685,18.143088776545486,26.79525063544286,62.72309584617844,76669,16.153333333333283,19.816666666666666,28.3
EGKK,London Gatwick,negative,Burr XII,0.023337200279406056,1.0503108130968291e-36,461223.21398072335,461260.2029916576,16.39780986653215,20.909094021877852,34.53563361772082,76669,16.153333333333283,19.816666666666666,28.3
EGKK,London Gatwick,negative,Generalized Gamma,0.028462268643884403,2.165224406320308e-54,465372.53353522485,465409.5225461591,17.187199081514102,22.257346992039317,34.220828487972334,76669,16.153333333333283,19.816666666666666,28.3
EGKK,London Gatwick,negative,Weibull,0.6440045390071127,0.0,649791.1197710161,649818.8615292168,6.702935257363814,17.357194572882907,82.30338060718354,76669,16.153333333333283,19.816666666666666,28.3
EGKK,London Gatwick,negative,Gamma,0.9826153218964674,0.0,1474489.5316904052,1474517.2734486058,0.016666666666956945,0.01666771059036724,0.1249716734797207,76669,16.153333333333283,19.816666666666666,28.3
EGKK,London Gatwick,negative,Log-Normal,0.0393955736302688,7.940431848641266e-104,468699.63485951844,468727.3766177191,16.779389802695267,22.64323564975389,39.30920557748626,76669,16.153333333333283,19.816666666666666,28.3
LIRF,Rome Fiumicino,positive,Log-Logistic,0.028319247755265065,2.6924070754045398e-107,1074069.634270676,1074099.456311579,29.450358345287682,46.44974635209172,126.53484359455325,153381,25.783333333333335,35.55,67.68666666666687
LIRF,Rome Fiumicino,positive,Burr XII,0.00924766240433783,8.03239894591719e-12,1062490.6510897048,1062530.413810909,25.806314397400012,35.61000932663419,70.47993371644921,153381,25.783333333333335,35.55,67.68666666666687
LIRF,Rome Fiumicino,positive,Generalized Gamma,0.019843767591053385,6.761791398618722e-53,1066404.6728858422,1066444.4356070464,27.72477248037251,37.3803826586183,61.95306774969427,153381,25.783333333333335,35.55,67.68666666666687
LIRF,Rome Fiumicino,positive,Weibull,0.03001468036282534,1.7723789096906033e-120,1067948.9244163728,1067978.746457276,28.31044943434419,37.41775369717888,59.0246788290407,153381,25.783333333333335,35.55,67.68666666666687
LIRF,Rome Fiumicino,positive,Gamma,0.8694747882807812,0.0,2483602.882175304,2483632.7042162074,0.48282467913269905,1.2922956040694968,4.290879646786827,153381,25.783333333333335,35.55,67.68666666666687
LIRF,Rome Fiumicino,positive,Log-Normal,0.028820042762475573,4.134024387722824e-111,1070663.4265746132,1070693.2486155163,27.467187956375582,39.219112513121004,76.02372494995613,153381,25.783333333333335,35.55,67.68666666666687
