Airport,Avg Origin Delay,Avg Destination Delay
EFHA,13.516666666666667,0.0
EFHK,10.541871733011659,0.0
EFIV,3.892570869990225,0.0
EFJO,13.777777777777777,0.0
EFJY,-0.475,0.0
EFKK,-9.676666666666668,0.0
EFKS,5.212909836065574,0.0
EFKT,5.247726207219879,0.0
EFKU,12.0,0.0
EFLP,-2.5194444444444444,0.0
EFOU,1.2204545454545455,0.0
EFPO,1.0666666666666667,0.0
EFRO,6.124236474694589,0.0
EFTP,2.304380341880342,0.0
EFTU,1.7075555555555555,0.0
EFVA,-6.51904761904762,0.0
EGAA,8.468034672582368,0.0
EGAC,8.387827545903555,0.0
EGAE,8.165555555555555,0.0
EGBB,0.8566920479164011,0.0
EGBE,-3.8770685579196216,0.0
EGBJ,2.159259259259259,0.0
EGBP,0.36666666666666664,0.0
EGBW,-23.366666666666667,0.0
EGCC,1.3721417314828936,0.0
EGCM,11.9,0.0
EGCN,5.657775524002704,0.0
EGDM,17.033333333333335,0.0
EGDX,2.9,0.0
EGDY,10.25,0.0
EGEO,23.133333333333333,0.0
EGFE,-9.68,0.0
EGFF,2.717973237391908,0.0
EGGD,4.196132815518974,0.0
EGGP,2.5662696151069566,0.0
EGGW,2.0169722091648503,0.0
EGHH,2.7962184873949583,0.0
EGHI,1.467158225241919,0.0
EGHL,39.73055555555556,0.0
EGHQ,6.481281959804971,0.0
EGHR,15.466666666666667,0.0
EGJB,5.098868901608068,0.0
EGJJ,4.0881853990421195,0.0
EGKA,-1.1375,0.0
EGKB,4.964676414838885,0.0
EGKK,1.7545123753932457,12.428034030210664
EGLC,6.76214269984585,0.0
EGLF,4.179412721652839,0.0
EGLJ,17.016666666666666,0.0
EGLK,-1.3089430894308942,0.0
EGLL,5.784539490676171,18.30229772527013
EGMC,3.4540077569489336,0.0
EGMD,5.805208333333334,0.0
EGNC,3.3633333333333337,0.0
EGNE,15.266666666666667,0.0
EGNH,4.183647798742139,0.0
EGNJ,6.134441301272984,0.0
EGNM,5.94301186459127,0.0
EGNO,-2.9963930348258705,0.0
EGNR,3.4800653594771243,0.0
EGNS,3.953693520300614,0.0
EGNT,7.203482637481421,0.0
EGNV,7.374696237739716,0.0
EGNX,1.5428512894673416,0.0
EGOV,-2.25,0.0
EGPA,-4.45,0.0
EGPB,-1.1712121212121211,0.0
EGPC,-7.233333333333333,0.0
EGPD,7.647145766274716,0.0
EGPE,10.098508230452675,0.0
EGPF,7.457042068130364,0.0
EGPH,6.963793596340766,0.0
EGPI,0.7666666666666667,0.0
EGPK,3.6165801988759183,0.0
EGPN,2.7698529411764707,0.0
EGQL,15.233333333333333,0.0
EGSC,1.0119904076738608,0.0
EGSG,9.216666666666667,0.0
EGSH,7.054903677758318,0.0
EGSS,2.406392703124587,0.0
EGSU,-4.033333333333333,0.0
EGSY,-1.430952380952381,0.0
EGTB,-12.333333333333334,0.0
EGTC,6.359523809523809,0.0
EGTD,4.4,0.0
EGTE,0.11980493943684127,0.0
EGTF,-7.774074074074075,0.0
EGTK,3.82258883248731,0.0
EGTR,20.433333333333334,0.0
EGUL,-1.6833333333333333,0.0
EGVA,4.983333333333333,0.0
EGVN,1.2722222222222221,0.0
EGWU,6.987646333949476,0.0
EHAM,9.117285606533766,11.040342148180192
EHBD,-3.7958333333333334,0.0
EHBK,1.9775745257452575,0.0
EHEH,5.116641875619776,0.0
EHFE,104.53333333333333,0.0
EHGG,-0.9212483399734396,0.0
EHJF,5.416666666666667,0.0
EHKD,-0.65,0.0
EHLE,6.216666666666667,0.0
EHRD,1.6942899214659686,0.0
EHTE,-4.5625,0.0
EHTW,-8.641397849462367,0.0
EHWO,11.463333333333333,0.0
EICK,8.244180596090917,0.0
EICM,20.977777777777778,0.0
EIDL,-4.2630309208290855,0.0
EIDW,7.375911573836314,1.8010735507096711
EIKN,2.4963963963963964,0.0
EIKY,-8.583105691056911,0.0
EINN,2.6721758540372673,0.0
EIWF,-1.3733333333333335,0.0
EIWT,-0.23333333333333334,0.0
EKAE,-6.033333333333333,0.0
EKAF,13.816666666666666,0.0
EKAH,0.950063371356147,0.0
EKBI,6.852729384436701,0.0
EKCH,6.9447063224841,0.0
EKEB,-0.8565656565656565,0.0
EKKA,-3.0768115942028986,0.0
EKOD,0.033888888888888885,0.0
EKRK,1.2742857142857142,0.0
EKRN,-7.791666666666667,0.0
EKSB,1.8644607843137255,0.0
EKSN,-5.708333333333333,0.0
EKSP,-0.5111111111111112,0.0
EKTS,-3.655555555555556,0.0
EKVG,3.624462365591398,0.0
EKYT,8.37317634893777,0.0
ELLX,2.86766758096338,0.0
ENAL,7.497054648687012,0.0
ENAT,-0.5111111111111112,0.0
ENBO,0.7605263157894736,0.0
ENBR,4.426229283659773,0.0
ENCN,6.3587451550387595,0.0
ENDU,-2.2708333333333335,0.0
ENEV,-1.5918650793650793,0.0
ENFG,9.246969696969698,0.0
ENGM,8.098338779195874,0.0
ENHD,4.741666666666666,0.0
ENKB,15.229166666666666,0.0
ENKR,5.241666666666666,0.0
ENML,-3.448148148148148,0.0
ENNA,-8.848148148148148,0.0
ENNO,3.7666666666666666,0.0
ENRY,2.5923245614035086,0.0
ENSB,7.705555555555555,0.0
ENTC,3.106876456876457,0.0
ENTO,5.324318658280922,0.0
ENVA,8.964844093104963,0.0
ENZV,5.790862140201074,0.0
EPBC,-23.733333333333334,0.0
EPBY,1.679863481228669,0.0
