Airport,Delay_Type,Param,Value
EGLL,positive,d,0.3796429136526486
EGLL,positive,d,0.3806473435491532
EGLL,positive,d,0.3677807728785404
EGLL,positive,d,0.37974537475676184
EGLL,positive,d,0.3729998782100799
EGLL,positive,d,0.377115909725978
EGLL,positive,d,0.3734976042047989
EGLL,positive,d,0.37448615570160093
EGLL,positive,d,0.3680354995305124
EGLL,positive,d,0.38014597750670676
EGLL,positive,d,0.37930944242001824
EGLL,positive,d,0.3817175874781077
EGLL,positive,d,0.379185075500053
EGLL,positive,d,0.38498059417103125
EGLL,positive,d,0.37829964538188526
EGLL,positive,d,0.37483138914936576
EGLL,positive,d,0.378183854461328
EGLL,positive,d,0.38212291844443724
EGLL,positive,d,0.3683277109006927
EGLL,positive,d,0.3774697912458352
EGLL,positive,d,0.37391129425435965
EGLL,positive,d,0.3791413224339689
EGLL,positive,d,0.36980529417790453
EGLL,positive,d,0.3657806136111402
EGLL,positive,d,0.37742126034983914
EGLL,positive,d,0.36772296009889954
EGLL,positive,d,0.3723106943111486
EGLL,positive,d,0.3747246668415031
EGLL,positive,d,0.37585522513712877
EGLL,positive,d,0.3777193217595167
EGLL,positive,d,0.37575628994927035
EGLL,positive,d,0.37201297294636293
EGLL,positive,d,0.3801815969275202
EGLL,positive,d,0.3785560169712391
EGLL,positive,d,0.36153858143980955
EGLL,positive,d,0.3783545114016128
EGLL,positive,d,0.37200066423651157
EGLL,positive,d,0.3849663734971893
EGLL,positive,d,0.376520124483804
EGLL,positive,d,0.38859688758000743
EGLL,positive,d,0.3832357959273842
EGLL,positive,d,0.3723773080217021
EGLL,positive,d,0.366944058025533
EGLL,positive,d,0.3806535347894126
EGLL,positive,d,0.3879636776668577
EGLL,positive,d,0.3775141765555298
EGLL,positive,d,0.3746641907353957
EGLL,positive,d,0.38246098090411595
EGLL,positive,d,0.37862517236710963
EGLL,positive,d,0.3726826897338018
EGLL,positive,d,0.36926541375281513
EGLL,positive,d,0.3690630149113324
EGLL,positive,d,0.3736754957632169
EGLL,positive,d,0.37372622149260715
EGLL,positive,d,0.36893872622394197
EGLL,positive,d,0.36761949447202114
EGLL,positive,d,0.37391710671442313
EGLL,positive,d,0.3791707000106762
EGLL,positive,d,0.3657470502827753
EGLL,positive,d,0.3909014925070573
EGLL,positive,d,0.3805089910937409
EGLL,positive,d,0.3667987635080372
EGLL,positive,d,0.37128946569648813
EGLL,positive,d,0.37808579701685213
EGLL,positive,d,0.3756741797154662
EGLL,positive,d,0.37839766773170497
EGLL,positive,d,0.3809185689321928
EGLL,positive,d,0.38069087985866507
EGLL,positive,d,0.3837371389673222
EGLL,positive,d,0.38151345604156256
EGLL,positive,d,0.3776526537388678
EGLL,positive,d,0.37358940864652523
EGLL,positive,d,0.37465703260866634
EGLL,positive,d,0.3720944325059299
EGLL,positive,d,0.37387048263954376
EGLL,positive,d,0.3807480081675456
EGLL,positive,d,0.3747514990274923
EGLL,positive,d,0.3841070579405459
EGLL,positive,d,0.3726245291812562
EGLL,positive,d,0.3713269083224074
EGLL,positive,d,0.3810732121863686
EGLL,positive,d,0.37453291625724777
EGLL,positive,d,0.3780820897399193
EGLL,positive,d,0.36636582778946136
EGLL,positive,d,0.3717652654151617
EGLL,positive,d,0.3740358773722571
EGLL,positive,d,0.38059131714334754
EGLL,positive,d,0.3794762973108043
EGLL,positive,d,0.3836791444314801
EGLL,positive,d,0.380854869793665
EGLL,positive,d,0.3867692678160031
EGLL,positive,d,0.3780216824238054
EGLL,positive,d,0.385639375802286
EGLL,positive,d,0.3799286859724801
EGLL,positive,d,0.38075565483809815
EGLL,positive,d,0.36824621709034205
EGLL,positive,d,0.37757357377453327
EGLL,positive,d,0.3747516654089027
