time,airport,out_degree
2018-09-01,LDDU,4
2018-09-01,LDSP,4
2018-09-01,LDZA,6
2018-09-01,LEBL,9
2018-09-01,LEMD,13
2018-09-01,LFPG,16
2018-09-01,LIRF,12
2018-09-01,LQSA,11
2018-09-01,LWSK,2
2018-09-01,LYTV,8
2018-12-01,BKPR,5
2018-12-01,EDDF,12
2018-12-01,EDDM,15
2018-12-01,EGKK,10
2018-12-01,EGLL,9
2018-12-01,EHAM,12
2018-12-01,EIDW,11
2018-12-01,LATI,6
2018-12-01,LBBG,4
2018-12-01,LBSF,2
2018-12-01,LDDU,0
2018-12-01,LDSP,0
2018-12-01,LDZA,4
2018-12-01,LEBL,9
2018-12-01,LEMD,8
2018-12-01,LFPG,13
2018-12-01,LIRF,11
2018-12-01,LQSA,1
2018-12-01,LWSK,1
2018-12-01,LYTV,2
2019-03-01,BKPR,4
2019-03-01,EDDF,11
2019-03-01,EDDM,15
2019-03-01,EGKK,12
2019-03-01,EGLL,8
2019-03-01,EHAM,13
2019-03-01,EIDW,11
2019-03-01,LATI,4
2019-03-01,LBBG,1
2019-03-01,LBSF,6
2019-03-01,LDDU,1
2019-03-01,LDSP,2
2019-03-01,LDZA,5
2019-03-01,LEBL,8
2019-03-01,LEMD,13
2019-03-01,LFPG,11
2019-03-01,LIRF,6
2019-03-01,LQSA,6
2019-03-01,LWSK,5
2019-03-01,LYTV,6
2019-06-01,BKPR,13
2019-06-01,EDDF,10
2019-06-01,EDDM,11
2019-06-01,EGKK,18
2019-06-01,EGLL,17
2019-06-01,EHAM,13
2019-06-01,EIDW,16
2019-06-01,LATI,9
2019-06-01,LBBG,2
2019-06-01,LBSF,9
2019-06-01,LDDU,11
2019-06-01,LDSP,13
2019-06-01,LDZA,12
2019-06-01,LEBL,14
2019-06-01,LEMD,16
2019-06-01,LFPG,13
2019-06-01,LIRF,11
2019-06-01,LQSA,10
2019-06-01,LWSK,5
2019-06-01,LYTV,14
2019-09-01,BKPR,8
2019-09-01,EDDF,16
2019-09-01,EDDM,16
2019-09-01,EGKK,14
2019-09-01,EGLL,10
2019-09-01,EHAM,13
2019-09-01,EIDW,12
2019-09-01,LATI,11
2019-09-01,LBBG,0
2019-09-01,LBSF,11
2019-09-01,LDDU,9
2019-09-01,LDSP,9
2019-09-01,LDZA,8
2019-09-01,LEBL,13
2019-09-01,LEMD,6
2019-09-01,LFPG,18
2019-09-01,LIRF,8
2019-09-01,LQSA,4
2019-09-01,LWSK,5
2019-09-01,LYTV,6
2019-12-01,BKPR,1
2019-12-01,EDDF,14
2019-12-01,EDDM,14
2019-12-01,EGKK,5
2019-12-01,EGLL,11
2019-12-01,EHAM,6
2019-12-01,EIDW,10
2019-12-01,LATI,4
2019-12-01,LBBG,2
2019-12-01,LBSF,2
2019-12-01,LDDU,2
2019-12-01,LDSP,2
2019-12-01,LDZA,4
2019-12-01,LEBL,9
2019-12-01,LEMD,13
2019-12-01,LFPG,9
