time,airport,in_degree
2022-09-01,EDDF,5
2022-09-01,EDDM,7
2022-09-01,EGKK,8
2022-09-01,EGLL,8
2022-09-01,EHAM,5
2022-09-01,EIDW,10
2022-09-01,LATI,12
2022-09-01,LBBG,1
2022-09-01,LBSF,5
2022-09-01,LDDU,10
2022-09-01,LDSP,15
2022-09-01,LDZA,13
2022-09-01,LEBL,12
2022-09-01,LEMD,15
2022-09-01,LFPG,10
2022-09-01,LIRF,14
2022-09-01,LQSA,8
2022-09-01,LWSK,13
2022-09-01,LYTV,5
2022-12-01,BKPR,4
2022-12-01,EDDF,2
2022-12-01,EDDM,4
2022-12-01,EGKK,8
2022-12-01,EGLL,8
2022-12-01,EHAM,6
2022-12-01,EIDW,2
2022-12-01,LATI,4
2022-12-01,LBBG,2
2022-12-01,LBSF,4
2022-12-01,LDDU,2
2022-12-01,LDSP,7
2022-12-01,LDZA,10
2022-12-01,LEBL,9
2022-12-01,LEMD,11
2022-12-01,LFPG,5
2022-12-01,LIRF,3
2022-12-01,LQSA,9
2022-12-01,LWSK,4
2022-12-01,LYTV,5
2023-03-01,BKPR,8
2023-03-01,EDDF,3
2023-03-01,EDDM,5
2023-03-01,EGKK,8
2023-03-01,EGLL,9
2023-03-01,EHAM,5
2023-03-01,EIDW,6
2023-03-01,LATI,2
2023-03-01,LBBG,4
2023-03-01,LBSF,5
2023-03-01,LDDU,2
2023-03-01,LDSP,5
2023-03-01,LDZA,10
2023-03-01,LEBL,5
2023-03-01,LEMD,8
2023-03-01,LFPG,9
2023-03-01,LIRF,7
2023-03-01,LQSA,5
2023-03-01,LWSK,5
2023-03-01,LYTV,5
2023-06-01,BKPR,14
2023-06-01,EDDF,4
2023-06-01,EDDM,6
2023-06-01,EGKK,12
2023-06-01,EGLL,12
2023-06-01,EHAM,8
2023-06-01,EIDW,15
2023-06-01,LATI,15
2023-06-01,LBBG,12
2023-06-01,LBSF,18
2023-06-01,LDDU,11
2023-06-01,LDSP,13
2023-06-01,LDZA,16
2023-06-01,LEBL,15
2023-06-01,LEMD,12
2023-06-01,LFPG,9
2023-06-01,LIRF,14
2023-06-01,LQSA,9
2023-06-01,LWSK,15
2023-06-01,LYTV,5
